guid,friendlyname
CMC Notify Type,2dce8bb1-bdd7-450e-b9ad-9cf4ebd4f890
CPE Notify Type,4e292f96-d843-4a55-a8c2-d481f27ebeee
MCE Notify Type,e8f56ffe-919c-4cc5-ba88-65abe14913bb
PCIe Notify Type,cf93c01f-1a16-4dfc-b8bc-9c4daf67c104
INIT Notify Type,cc5263e8-9308-454a-89d0-340bd39bc98e
NMI Notify Type,5bad89ff-b7e6-42c9-814a-cf2485d6e98a
Boot Notify Type,3d61a466-ab40-409a-a698-f362d464b38f
SEA Notify Type,9a78788a-bbe8-11e4-809e-67611e5d46b0
SEI Notify Type,5c284c81-b0ae-4e87-a322-b04c85624323
PEI Notify Type,09a9d5ac-5204-4214-96e5-94992e752bcd
BMC Notify Type,487565ba-6494-4367-95ca-4eff893522f6
SCI Notify Type,e9d59197-94ee-4a4f-8ad8-9b7d8bd93d2e
EXTINT Notify Type,fe84086e-b557-43cf-ac1b-17982e078470
Device Driver Notify Type,0033f803-2e70-4e88-992c-6f26daf3db7a
CMCI Notify Type,919448b2-3739-4b7f-a8f1-e0062805c2a3
Processor Generic Error Section,9876ccad-47b4-4bdb-b65e-16f193c4f3db
Device Driver Error Section,00000000-0000-0000-0000-000000000000
IPMI MSR Dump Section,1c15b445-9b06-4667-ac25-33c056b88803
XPF Processor Errord,c3ea0b0-a144-4797-b95b-53fa242b6e1d
IPF Processor Errore,429faf1-3cb7-11d4-bca7-0080c73c8881
ARM Processor Errore,19e3d16-bc11-11e4-9caa-c2051d5d46b0
Memory Error Section,a5bc1114-6f64-4ede-b863-3e83ed7c83b1
PCIe Error Section,d995e954-bbc1-430f-ad91-b44dcb3c6f35
PCIX Bus Error Section,c5753963-3b84-4095-bf78-eddad3f9c9dd
PCIX Device Error Section,eb5e4685-ca66-4769-b6a2-26068b001326
Firmware Error Record Reference,81212a96-09ed-4996-9471-8d729c8e69ed
PMEM Error Section,81687003-dbfd-4728-9ffd-f0904f97597d
WHEA Cache Check,a55701f5-e3ef-43de-ac72-249b573fad2c
WHEA TLB Check,fc06b535-5e1f-4562-9f25-0a3b9adb63c3
WHEA Bus Check,1cf3f8b3-c5b1-49a2-aa59-5eef92ffa63c
WHEA MS Check,48ab7f57-dc34-4f6c-a7d3-b0b5b0a74314
WHEA Record Creator,cf07c4bd-b789-4e18-b3c4-1f732cb57131
Generic Notfiy Type,3e62a467-ab40-409a-a698-f362d464b38f
IPF SAL Record Section,6f3380d1-6eb0-497f-a578-4d4c65a71617
XPF MCA Section,8a1e1d01-42f9-4557-9c33-565e5cc3f7e8
NMI Section,e71254e7-c1b9-4940-ab76-909703a4320f
Generic Section,e71254e8-c1b9-4940-ab76-909703a4320f
WHEA Error Packet Section,e71254e9-c1b9-4940-ab76-909703a4320f
